TaskName,InputSize,EstimatedP,ThreadCount,TheoreticalSpeedup,ActualSpeedup,DeviationPercent,IsHyperthreading
MatrixMultiply,64,0.0165,2,1.0083,0.6396,36.5667,False
MatrixMultiply,64,0.0165,4,1.0125,1.0031,0.9278,False
MatrixMultiply,64,0.0165,6,1.0139,1.0139,0.0000,False
MatrixMultiply,64,0.0165,8,1.0146,1.0092,0.5399,True
MatrixMultiply,64,0.0165,12,1.0153,1.0182,0.2822,True
MatrixMultiply,128,0.9212,2,1.8539,1.5776,14.9051,False
MatrixMultiply,128,0.9212,4,3.2352,3.0698,5.1108,False
MatrixMultiply,128,0.9212,6,4.3041,4.3041,0.0000,False
MatrixMultiply,128,0.9212,8,5.1559,3.5758,30.6474,True
MatrixMultiply,128,0.9212,12,6.4281,3.7951,40.9597,True
MatrixMultiply,256,0.9240,2,1.8587,1.9478,4.7902,False
MatrixMultiply,256,0.9240,4,3.2573,3.8007,16.6809,False
MatrixMultiply,256,0.9240,6,4.3479,4.3479,0.0000,False
MatrixMultiply,256,0.9240,8,5.2220,4.3697,16.3214,True
MatrixMultiply,256,0.9240,12,6.5360,4.3356,33.6655,True
MatrixMultiply,512,0.8736,2,1.7756,1.7401,1.9965,False
MatrixMultiply,512,0.8736,4,2.9002,2.8242,2.6189,False
MatrixMultiply,512,0.8736,6,3.6764,3.6764,0.0000,False
MatrixMultiply,512,0.8736,8,4.2444,4.1534,2.1443,True
MatrixMultiply,512,0.8736,12,5.0199,5.0596,0.7896,True
MatrixMultiply,1024,1.0000,2,2.0000,2.8996,44.9788,False
MatrixMultiply,1024,1.0000,4,4.0000,5.7996,44.9906,False
MatrixMultiply,1024,1.0000,6,6.0000,8.7031,45.0511,False
MatrixMultiply,1024,1.0000,8,8.0000,10.7811,34.7639,True
MatrixMultiply,1024,1.0000,12,12.0000,14.6782,22.3186,True
MatrixMultiply,2048,1.0000,2,2.0000,3.0712,53.5588,False
MatrixMultiply,2048,1.0000,4,4.0000,5.9288,48.2198,False
MatrixMultiply,2048,1.0000,6,6.0000,8.3424,39.0408,False
MatrixMultiply,2048,1.0000,8,8.0000,8.6788,8.4850,True
MatrixMultiply,2048,1.0000,12,12.0000,9.0041,24.9655,True
MatrixMultiply,4096,1.0000,2,2.0000,3.6581,82.9039,False
MatrixMultiply,4096,1.0000,4,4.0000,5.9626,49.0645,False
MatrixMultiply,4096,1.0000,6,6.0000,10.2627,71.0453,False
MatrixMultiply,4096,1.0000,8,8.0000,7.9422,0.7220,True
MatrixMultiply,4096,1.0000,12,12.0000,10.1600,15.3330,True
GameOfLife,8,0.0000,2,1.0000,0.7179,28.2107,False
GameOfLife,8,0.0000,4,1.0000,0.4817,51.8338,False
GameOfLife,8,0.0000,6,1.0000,0.5542,44.5751,False
GameOfLife,8,0.0000,8,1.0000,0.5297,47.0346,True
GameOfLife,8,0.0000,12,1.0000,0.5401,45.9946,True
GameOfLife,12,0.1633,2,1.0889,0.9455,13.1689,False
GameOfLife,12,0.1633,4,1.1395,0.8930,21.6347,False
GameOfLife,12,0.1633,6,1.1575,1.1575,0.0000,False
GameOfLife,12,0.1633,8,1.1667,0.9909,15.0638,True
GameOfLife,12,0.1633,12,1.1760,1.2043,2.4099,True
GameOfLife,16,0.4988,2,1.3323,1.5957,19.7730,False
GameOfLife,16,0.4988,4,1.5978,1.9183,20.0647,False
GameOfLife,16,0.4988,6,1.7114,1.7114,0.0000,False
GameOfLife,16,0.4988,8,1.7745,1.5895,10.4286,True
GameOfLife,16,0.4988,12,1.8425,1.5065,18.2351,True
GameOfLife,24,0.7308,2,1.5758,1.6281,3.3192,False
GameOfLife,24,0.7308,4,2.2129,2.6789,21.0579,False
GameOfLife,24,0.7308,6,2.5576,2.5576,0.0000,False
GameOfLife,24,0.7308,8,2.7736,2.4865,10.3499,True
GameOfLife,24,0.7308,12,3.0295,2.4253,19.9426,True
GameOfLife,32,0.8438,2,1.7298,1.8202,5.2251,False
GameOfLife,32,0.8438,4,2.7238,3.2095,17.8333,False
GameOfLife,32,0.8438,6,3.3690,3.3690,0.0000,False
GameOfLife,32,0.8438,8,3.8217,3.3128,13.3178,True
GameOfLife,32,0.8438,12,4.4150,3.2496,26.3966,True
GameOfLife,64,0.9032,2,1.8235,1.9190,5.2396,False
GameOfLife,64,0.9032,4,3.0999,3.6218,16.8359,False
GameOfLife,64,0.9032,6,4.0432,4.0432,0.0000,False
GameOfLife,64,0.9032,8,4.7688,3.6869,22.6873,True
GameOfLife,64,0.9032,12,5.8119,3.7066,36.2244,True
GameOfLife,100,0.9312,2,1.8712,2.0403,9.0322,False
GameOfLife,100,0.9312,4,3.3156,3.7851,14.1593,False
GameOfLife,100,0.9312,6,4.4642,4.4642,0.0000,False
GameOfLife,100,0.9312,8,5.3994,4.0999,24.0673,True
GameOfLife,100,0.9312,12,6.8303,4.5344,33.6132,True
GameOfLife,150,0.9906,2,1.9814,2.0221,2.0563,False
GameOfLife,150,0.9906,4,3.8903,3.9082,0.4600,False
GameOfLife,150,0.9906,6,5.7308,5.7308,0.0000,False
GameOfLife,150,0.9906,8,7.5063,4.7031,37.3452,True
GameOfLife,150,0.9906,12,10.8760,4.9999,54.0282,True
GameOfLife,250,0.9821,2,1.9647,2.0114,2.3760,False
GameOfLife,250,0.9821,4,3.7957,3.8822,2.2794,False
GameOfLife,250,0.9821,6,5.5060,5.5060,0.0000,False
GameOfLife,250,0.9821,8,7.1073,4.5399,36.1232,True
GameOfLife,250,0.9821,12,10.0220,5.0398,49.7121,True
GameOfLife,500,0.9926,2,1.9853,1.9810,0.2202,False
GameOfLife,500,0.9926,4,3.9133,3.8616,1.3234,False
GameOfLife,500,0.9926,6,5.7864,5.7864,0.0000,False
GameOfLife,500,0.9926,8,7.6069,5.1995,31.6485,True
GameOfLife,500,0.9926,12,11.0988,5.5840,49.6883,True
GameOfLife,1000,0.9906,2,1.9813,1.9939,0.6338,False
GameOfLife,1000,0.9906,4,3.8899,3.9553,1.6813,False
GameOfLife,1000,0.9906,6,5.7296,5.7296,0.0000,False
GameOfLife,1000,0.9906,8,7.5042,5.6263,25.0244,True
GameOfLife,1000,0.9906,12,10.8713,5.9203,45.5422,True
GameOfLife,2000,0.9918,2,1.9838,1.9942,0.5268,False
GameOfLife,2000,0.9918,4,3.9042,3.9708,1.7066,False
GameOfLife,2000,0.9918,6,5.7642,5.7642,0.0000,False
GameOfLife,2000,0.9918,8,7.5667,5.7326,24.2389,True
GameOfLife,2000,0.9918,12,11.0093,5.9465,45.9861,True
GameOfLife,5000,0.9933,2,1.9867,1.9962,0.4765,False
GameOfLife,5000,0.9933,4,3.9212,3.9702,1.2486,False
GameOfLife,5000,0.9933,6,5.8056,5.8056,0.0000,False
GameOfLife,5000,0.9933,8,7.6417,5.8553,23.3772,True
GameOfLife,5000,0.9933,12,11.1765,6.0127,46.2020,True
GameOfLife,10000,0.9943,2,1.9888,1.9967,0.3978,False
GameOfLife,10000,0.9943,4,3.9333,3.9817,1.2313,False
GameOfLife,10000,0.9943,6,5.8351,5.8351,0.0000,False
GameOfLife,10000,0.9943,8,7.6955,5.8899,23.4623,True
GameOfLife,10000,0.9943,12,11.2975,6.0347,46.5834,True
