TaskName,InputSize,Variant,MedianMs,SpeedupVsParallel1,OverheadPercentVsParallel1,IsValid
MatrixMultiply,64,Sequential,0.1930,2.9972,-66.6350,True
MatrixMultiply,64,Parallel_1,0.5784,1.0000,0.0000,True
MatrixMultiply,64,Parallel_2,0.3017,1.9170,-47.8347,True
MatrixMultiply,64,Parallel_4,0.1924,3.0065,-66.7387,True
MatrixMultiply,64,Parallel_6,0.1904,3.0389,-67.0931,True
MatrixMultiply,64,Parallel_8,0.1913,3.0246,-66.9375,True
MatrixMultiply,64,Parallel_12,0.1895,3.0517,-67.2314,True
MatrixMultiply,64,ILGPU_Cuda,3.0383,0.1904,425.2485,True
MatrixMultiply,64,GPU_ComputeSharp,2.2041,0.2624,281.0355,True
MatrixMultiply,128,Sequential,2.3075,1.2314,-18.7947,True
MatrixMultiply,128,Parallel_4,0.7516,3.7803,-73.5474,True
MatrixMultiply,128,Parallel_6,0.5361,5.3003,-81.1332,True
MatrixMultiply,256,Parallel_4,4.7300,3.8690,-74.1536,True
MatrixMultiply,256,Parallel_6,4.1348,4.4260,-77.4063,True
MatrixMultiply,128,Parallel_12,0.6080,4.6735,-78.6029,True
MatrixMultiply,256,Parallel_12,4.1464,4.4136,-77.3426,True
MatrixMultiply,512,Parallel_12,36.8962,5.4477,-81.6436,True
MatrixMultiply,128,ILGPU_Cuda,3.1764,0.8946,11.7843,True
MatrixMultiply,128,GPU_ComputeSharp,2.3879,1.1900,-15.9652,True
MatrixMultiply,256,Sequential,17.9773,1.0180,-1.7658,True
MatrixMultiply,256,ILGPU_Cuda,3.2781,5.5826,-82.0873,True
MatrixMultiply,256,GPU_ComputeSharp,3.0473,6.0055,-83.3485,True
MatrixMultiply,4096,GPU_ComputeSharp,223.9637,2854.9503,-99.9650,True
MatrixMultiply,512,Sequential,186.6798,1.0767,-7.1243,True
MatrixMultiply,512,Parallel_4,66.0991,3.0409,-67.1148,True
MatrixMultiply,512,Parallel_6,50.7778,3.9584,-74.7374,True
MatrixMultiply,512,ILGPU_Cuda,4.1128,48.8711,-97.9538,True
MatrixMultiply,2048,ILGPU_Cuda,34.5889,1308.3997,-99.9236,True
MatrixMultiply,512,GPU_ComputeSharp,3.6033,55.7813,-98.2073,True
MatrixMultiply,128,Parallel_1,2.8415,1.0000,0.0000,True
MatrixMultiply,128,Parallel_2,1.4627,1.9427,-48.5254,True
MatrixMultiply,128,Parallel_8,0.6453,4.4034,-77.2902,True
MatrixMultiply,256,Parallel_1,18.3005,1.0000,0.0000,True
MatrixMultiply,256,Parallel_2,9.2296,1.9828,-49.5660,True
