TaskName,Variant,InputSize,RunNumber,TimeMs,IsValid
MatrixMultiply,Sequential,64,1,0.1960,True
MatrixMultiply,Sequential,64,2,0.1988,True
MatrixMultiply,Sequential,64,3,0.1949,True
MatrixMultiply,Sequential,64,4,0.1931,True
MatrixMultiply,Sequential,64,5,0.1930,True
MatrixMultiply,Sequential,64,6,0.1929,True
MatrixMultiply,Sequential,64,7,0.1924,True
MatrixMultiply,Sequential,64,8,0.1928,True
MatrixMultiply,Sequential,64,9,0.1925,True
MatrixMultiply,Sequential,64,10,0.1930,True
MatrixMultiply,Parallel_1,64,1,0.6081,True
MatrixMultiply,Parallel_1,64,2,0.5762,True
MatrixMultiply,Parallel_1,64,3,0.5702,True
MatrixMultiply,Parallel_1,64,4,0.5727,True
MatrixMultiply,Parallel_1,64,5,0.5734,True
MatrixMultiply,Parallel_1,64,6,0.6153,True
MatrixMultiply,Parallel_1,64,7,0.5788,True
MatrixMultiply,Parallel_1,64,8,0.5781,True
MatrixMultiply,Parallel_1,64,9,0.5805,True
MatrixMultiply,Parallel_1,64,10,0.5793,True
MatrixMultiply,Parallel_2,64,1,0.3254,True
MatrixMultiply,Parallel_2,64,2,0.3053,True
MatrixMultiply,Parallel_2,64,3,0.3051,True
MatrixMultiply,Parallel_2,64,4,0.2998,True
MatrixMultiply,Parallel_2,64,5,0.2986,True
MatrixMultiply,Parallel_2,64,6,0.3015,True
MatrixMultiply,Parallel_2,64,7,0.2965,True
MatrixMultiply,Parallel_2,64,8,0.3020,True
MatrixMultiply,Parallel_2,64,9,0.2977,True
MatrixMultiply,Parallel_2,64,10,0.3567,True
MatrixMultiply,Parallel_4,64,1,0.2206,True
MatrixMultiply,Parallel_4,64,2,0.2127,True
MatrixMultiply,Parallel_4,64,3,0.2088,True
MatrixMultiply,Parallel_4,64,4,0.1890,True
MatrixMultiply,Parallel_4,64,5,0.1880,True
MatrixMultiply,Parallel_4,64,6,0.1938,True
MatrixMultiply,Parallel_4,64,7,0.1870,True
MatrixMultiply,Parallel_4,64,8,0.1922,True
MatrixMultiply,Parallel_4,64,9,0.1866,True
MatrixMultiply,Parallel_4,64,10,0.1926,True
MatrixMultiply,Parallel_6,64,1,0.1928,True
MatrixMultiply,Parallel_6,64,2,0.2082,True
MatrixMultiply,Parallel_6,64,3,0.2067,True
MatrixMultiply,Parallel_6,64,4,0.1879,True
MatrixMultiply,Parallel_6,64,5,0.2300,True
MatrixMultiply,Parallel_6,64,6,0.1966,True
MatrixMultiply,Parallel_6,64,7,0.1831,True
MatrixMultiply,Parallel_6,64,8,0.1826,True
MatrixMultiply,Parallel_6,64,9,0.1829,True
MatrixMultiply,Parallel_6,64,10,0.1834,True
MatrixMultiply,Parallel_8,64,1,0.2117,True
MatrixMultiply,Parallel_8,64,2,0.2198,True
MatrixMultiply,Parallel_8,64,3,0.1974,True
MatrixMultiply,Parallel_8,64,4,0.1892,True
MatrixMultiply,Parallel_8,64,5,0.1874,True
MatrixMultiply,Parallel_8,64,6,0.1933,True
MatrixMultiply,Parallel_8,64,7,0.1815,True
MatrixMultiply,Parallel_8,64,8,0.1795,True
MatrixMultiply,Parallel_8,64,9,0.1794,True
MatrixMultiply,Parallel_8,64,10,0.1960,True
MatrixMultiply,Parallel_12,64,1,0.1825,True
MatrixMultiply,Parallel_12,64,2,0.1748,True
MatrixMultiply,Parallel_12,64,3,0.1741,True
MatrixMultiply,Parallel_12,64,4,0.1978,True
MatrixMultiply,Parallel_12,64,5,0.1988,True
MatrixMultiply,Parallel_12,64,6,0.1966,True
MatrixMultiply,Parallel_12,64,7,0.2233,True
MatrixMultiply,Parallel_12,64,8,0.2207,True
MatrixMultiply,Parallel_12,64,9,0.1781,True
MatrixMultiply,Parallel_12,64,10,0.1732,True
MatrixMultiply,ILGPU_Cuda,64,1,2.9452,True
MatrixMultiply,ILGPU_Cuda,64,2,3.0015,True
MatrixMultiply,ILGPU_Cuda,64,3,3.1882,True
MatrixMultiply,ILGPU_Cuda,64,4,3.0332,True
MatrixMultiply,ILGPU_Cuda,64,5,2.9771,True
MatrixMultiply,ILGPU_Cuda,64,6,3.0428,True
MatrixMultiply,ILGPU_Cuda,64,7,3.1452,True
MatrixMultiply,ILGPU_Cuda,64,8,3.0338,True
MatrixMultiply,ILGPU_Cuda,64,9,3.0874,True
MatrixMultiply,ILGPU_Cuda,64,10,3.1699,True
MatrixMultiply,GPU_ComputeSharp,64,1,2.4035,True
MatrixMultiply,GPU_ComputeSharp,64,2,2.2353,True
MatrixMultiply,GPU_ComputeSharp,64,3,2.1597,True
MatrixMultiply,GPU_ComputeSharp,64,4,2.2404,True
MatrixMultiply,GPU_ComputeSharp,64,5,2.3894,True
MatrixMultiply,GPU_ComputeSharp,64,6,2.2006,True
MatrixMultiply,GPU_ComputeSharp,64,7,2.1903,True
MatrixMultiply,GPU_ComputeSharp,64,8,2.2076,True
MatrixMultiply,GPU_ComputeSharp,64,9,2.1755,True
MatrixMultiply,GPU_ComputeSharp,64,10,2.1905,True
MatrixMultiply,Sequential,128,1,2.3264,True
MatrixMultiply,Sequential,128,2,2.2982,True
MatrixMultiply,Sequential,128,3,2.3286,True
MatrixMultiply,Sequential,128,4,2.2959,True
MatrixMultiply,Sequential,128,5,2.3167,True
MatrixMultiply,Sequential,128,6,2.3191,True
MatrixMultiply,Sequential,128,7,2.2856,True
MatrixMultiply,Sequential,128,8,2.2879,True
MatrixMultiply,Sequential,128,9,2.2871,True
MatrixMultiply,Sequential,128,10,2.3342,True
MatrixMultiply,Parallel_4,128,1,0.7682,True
MatrixMultiply,Parallel_4,128,2,0.7538,True
MatrixMultiply,Parallel_4,128,3,0.7448,True
MatrixMultiply,Parallel_4,128,4,0.7518,True
MatrixMultiply,Parallel_4,128,5,0.7481,True
MatrixMultiply,Parallel_4,128,6,0.7459,True
MatrixMultiply,Parallel_4,128,7,0.7515,True
MatrixMultiply,Parallel_4,128,8,0.8725,True
MatrixMultiply,Parallel_4,128,9,0.7619,True
MatrixMultiply,Parallel_4,128,10,0.7507,True
MatrixMultiply,Parallel_6,128,1,0.8585,True
MatrixMultiply,Parallel_6,128,2,0.5458,True
MatrixMultiply,Parallel_6,128,3,0.5480,True
MatrixMultiply,Parallel_6,128,4,0.5223,True
MatrixMultiply,Parallel_6,128,5,0.5288,True
MatrixMultiply,Parallel_6,128,6,0.5343,True
MatrixMultiply,Parallel_6,128,7,0.5419,True
MatrixMultiply,Parallel_6,128,8,0.5317,True
MatrixMultiply,Parallel_6,128,9,0.5379,True
MatrixMultiply,Parallel_6,128,10,0.5327,True
MatrixMultiply,Parallel_4,256,1,6.9054,True
MatrixMultiply,Parallel_4,256,2,4.7090,True
MatrixMultiply,Parallel_4,256,3,4.6542,True
MatrixMultiply,Parallel_4,256,4,5.6928,True
MatrixMultiply,Parallel_4,256,5,6.1065,True
MatrixMultiply,Parallel_4,256,6,6.0933,True
MatrixMultiply,Parallel_4,256,7,4.7203,True
MatrixMultiply,Parallel_4,256,8,4.7397,True
MatrixMultiply,Parallel_4,256,9,4.7128,True
MatrixMultiply,Parallel_4,256,10,4.7165,True
MatrixMultiply,Parallel_6,256,1,3.9519,True
MatrixMultiply,Parallel_6,256,2,4.3626,True
MatrixMultiply,Parallel_6,256,3,4.1925,True
MatrixMultiply,Parallel_6,256,4,4.3626,True
MatrixMultiply,Parallel_6,256,5,3.9545,True
MatrixMultiply,Parallel_6,256,6,5.0688,True
MatrixMultiply,Parallel_6,256,7,4.0878,True
