TaskName,Variant,InputSize,MedianMs,MeanMs,MinMs,MaxMs,StdDevMs,CvPercent,SpeedupVsSequential,SpeedupVsParallel1,IsValid
GameOfLife,GPU_ComputeSharp,8,9.0019,9.0027,8.8601,9.1877,0.1037,1.15,0.0422,0.0824,True
GameOfLife,ILGPU_Cuda,8,4.3413,4.3936,4.1514,4.7324,0.1859,4.23,0.0874,0.1709,True
GameOfLife,Parallel_1,8,0.7420,0.7481,0.7324,0.7842,0.0158,2.11,0.5115,1.0000,True
GameOfLife,Parallel_12,8,0.7028,0.7041,0.6730,0.7473,0.0215,3.05,0.5401,1.0558,True
GameOfLife,Parallel_2,8,0.5287,0.5460,0.5134,0.6737,0.0462,8.46,0.7179,1.4035,True
GameOfLife,Parallel_4,8,0.7880,1.5334,0.6984,8.3048,2.2577,147.23,0.4817,0.9417,True
GameOfLife,Parallel_6,8,0.6848,0.6969,0.6647,0.8241,0.0436,6.26,0.5542,1.0836,True
GameOfLife,Parallel_8,8,0.7166,0.7600,0.6840,0.9169,0.0762,10.03,0.5297,1.0355,True
GameOfLife,Sequential,8,0.3795,0.3801,0.3780,0.3841,0.0021,0.55,1.0000,1.9551,True
GameOfLife,GPU_ComputeSharp,12,8.3750,8.5469,8.2896,10.0313,0.5000,5.85,0.1016,0.1824,True
GameOfLife,ILGPU_Cuda,12,4.2837,4.4494,4.1945,5.1822,0.3117,7.01,0.1986,0.3566,True
GameOfLife,Parallel_1,12,1.5275,1.5395,1.5253,1.6300,0.0305,1.98,0.5570,1.0000,True
GameOfLife,Parallel_12,12,0.7065,0.7182,0.6788,0.8093,0.0366,5.10,1.2043,2.1622,True
GameOfLife,Parallel_2,12,0.8999,0.9065,0.8894,0.9690,0.0214,2.36,0.9455,1.6975,True
GameOfLife,Parallel_4,12,0.9527,1.5821,0.9462,7.2317,1.8832,119.04,0.8930,1.6033,True
GameOfLife,Parallel_6,12,0.7350,0.8103,0.6520,1.0645,0.1414,17.45,1.1575,2.0781,True
GameOfLife,Parallel_8,12,0.8586,1.0085,0.7679,1.8425,0.3296,32.69,0.9909,1.7791,True
GameOfLife,Sequential,12,0.8508,0.8528,0.8488,0.8632,0.0042,0.50,1.0000,1.7954,True
GameOfLife,GPU_ComputeSharp,16,8.8679,9.0003,8.7489,9.6935,0.2881,3.20,0.1673,0.1687,True
GameOfLife,ILGPU_Cuda,16,4.4806,4.4893,4.1045,5.0887,0.2539,5.66,0.3311,0.3339,True
