TaskName,BaseSize,ThreadCount,ScaledSize,ParallelMedianMs,BaseSeqMedianMs,ApproxSpeedupVsBaseSeq,ApproxAlphaFromBaseSeq,SeqScaledMedianMs,GustafsonSpeedupStrict,AlphaStrict,IsValid
MatrixMultiply,512,2,645,145.7359,187.3596,1.2856,0.714389,230.6821,1.5829,0.417123,True
MatrixMultiply,512,4,813,177.3282,187.3596,1.0566,0.981143,522.9484,2.9490,0.350319,True
MatrixMultiply,512,6,930,229.6334,187.3596,0.8159,1.036818,741.1380,3.2275,0.554503,True
MatrixMultiply,512,8,1024,463.5843,187.3596,0.4042,1.085121,5038.9247,10.8695,-0.409927,True
MatrixMultiply,512,12,1172,593.3098,187.3596,0.3158,1.062201,1543.1109,2.6009,0.854468,True
GameOfLife,512,2,724,1566.7141,1539.7486,0.9828,1.017211,3088.5480,1.9714,0.028646,True
GameOfLife,512,4,1024,1775.1759,1539.7486,0.8674,1.044207,6153.2966,3.4663,0.177899,True
GameOfLife,512,6,1254,2068.6013,1539.7486,0.7443,1.051131,9234.7098,4.4642,0.307154,True
GameOfLife,512,8,1448,2321.5027,1539.7486,0.6633,1.048106,12130.1006,5.2251,0.396413,True
GameOfLife,512,12,1774,3386.7095,1539.7486,0.4546,1.049578,18162.6502,5.3629,0.603371,True
