TaskName,Variant,InputSize,RunNumber,TimeMs,IsValid
MatrixMultiply,Sequential,512,1,207.8397,True
MatrixMultiply,Sequential,512,2,193.6585,True
MatrixMultiply,Sequential,512,3,183.0709,True
MatrixMultiply,Sequential,512,4,184.9197,True
MatrixMultiply,Sequential,512,5,185.9568,True
MatrixMultiply,Sequential,512,6,186.4355,True
MatrixMultiply,Sequential,512,7,189.0418,True
MatrixMultiply,Sequential,512,8,185.6927,True
MatrixMultiply,Sequential,512,9,188.2838,True
MatrixMultiply,Sequential,512,10,192.1984,True
MatrixMultiply,Parallel_1,512,1,200.4631,True
MatrixMultiply,Parallel_1,512,2,196.4534,True
MatrixMultiply,Parallel_1,512,3,192.0055,True
MatrixMultiply,Parallel_1,512,4,200.0295,True
MatrixMultiply,Parallel_1,512,5,200.8889,True
MatrixMultiply,Parallel_1,512,6,210.3535,True
MatrixMultiply,Parallel_1,512,7,198.8550,True
MatrixMultiply,Parallel_1,512,8,197.6170,True
MatrixMultiply,Parallel_1,512,9,198.3602,True
MatrixMultiply,Parallel_1,512,10,196.6829,True
MatrixMultiply,Parallel_2,645,1,152.1346,True
MatrixMultiply,Parallel_2,645,2,143.4099,True
MatrixMultiply,Parallel_2,645,3,141.4307,True
MatrixMultiply,Parallel_2,645,4,145.7890,True
MatrixMultiply,Parallel_2,645,5,145.6828,True
MatrixMultiply,Parallel_2,645,6,156.4528,True
MatrixMultiply,Parallel_2,645,7,151.8649,True
MatrixMultiply,Parallel_2,645,8,148.2787,True
MatrixMultiply,Parallel_2,645,9,143.6620,True
MatrixMultiply,Parallel_2,645,10,141.1244,True
MatrixMultiply,Parallel_4,813,1,184.1714,True
MatrixMultiply,Parallel_4,813,2,177.6558,True
MatrixMultiply,Parallel_4,813,3,173.0267,True
MatrixMultiply,Parallel_4,813,4,178.6444,True
MatrixMultiply,Parallel_4,813,5,177.0007,True
MatrixMultiply,Parallel_4,813,6,182.5367,True
MatrixMultiply,Parallel_4,813,7,172.7710,True
MatrixMultiply,Parallel_4,813,8,173.3792,True
MatrixMultiply,Parallel_4,813,9,176.6608,True
MatrixMultiply,Parallel_4,813,10,180.5420,True
MatrixMultiply,Parallel_6,930,1,230.0982,True
MatrixMultiply,Parallel_6,930,2,232.2879,True
MatrixMultiply,Parallel_6,930,3,221.7173,True
MatrixMultiply,Parallel_6,930,4,204.5716,True
MatrixMultiply,Parallel_6,930,5,208.9979,True
MatrixMultiply,Parallel_6,930,6,264.1896,True
MatrixMultiply,Parallel_6,930,7,235.1193,True
MatrixMultiply,Parallel_6,930,8,229.1686,True
MatrixMultiply,Parallel_6,930,9,216.3339,True
MatrixMultiply,Parallel_6,930,10,261.8412,True
MatrixMultiply,Parallel_8,1024,1,508.0636,True
MatrixMultiply,Parallel_8,1024,2,461.9813,True
MatrixMultiply,Parallel_8,1024,3,464.5421,True
MatrixMultiply,Parallel_8,1024,4,476.6677,True
MatrixMultiply,Parallel_8,1024,5,479.9579,True
MatrixMultiply,Parallel_8,1024,6,476.4777,True
MatrixMultiply,Parallel_8,1024,7,455.5073,True
MatrixMultiply,Parallel_8,1024,8,460.9954,True
MatrixMultiply,Parallel_8,1024,9,462.6266,True
MatrixMultiply,Parallel_8,1024,10,459.3474,True
MatrixMultiply,Parallel_12,1172,1,631.0034,True
MatrixMultiply,Parallel_12,1172,2,577.0659,True
MatrixMultiply,Parallel_12,1172,3,578.7235,True
MatrixMultiply,Parallel_12,1172,4,608.5301,True
MatrixMultiply,Parallel_12,1172,5,564.9290,True
MatrixMultiply,Parallel_12,1172,6,543.2596,True
MatrixMultiply,Parallel_12,1172,7,592.7261,True
MatrixMultiply,Parallel_12,1172,8,636.9454,True
MatrixMultiply,Parallel_12,1172,9,593.8936,True
MatrixMultiply,Parallel_12,1172,10,600.7302,True
GameOfLife,Sequential,512,1,1539.2727,True
GameOfLife,Sequential,512,2,1537.1620,True
GameOfLife,Sequential,512,3,1542.6060,True
GameOfLife,Sequential,512,4,1537.8984,True
GameOfLife,Sequential,512,5,1535.9525,True
GameOfLife,Sequential,512,6,1540.2246,True
GameOfLife,Sequential,512,7,1546.7936,True
GameOfLife,Sequential,512,8,1671.4365,True
GameOfLife,Sequential,512,9,1625.5872,True
GameOfLife,Sequential,512,10,1536.8965,True
GameOfLife,Parallel_1,512,1,1511.4163,True
GameOfLife,Parallel_1,512,2,1514.8654,True
GameOfLife,Parallel_1,512,3,1536.9850,True
GameOfLife,Parallel_1,512,4,1538.1389,True
GameOfLife,Parallel_1,512,5,1514.4160,True
GameOfLife,Parallel_1,512,6,1516.8737,True
GameOfLife,Parallel_1,512,7,1519.8678,True
GameOfLife,Parallel_1,512,8,1517.7981,True
GameOfLife,Parallel_1,512,9,1529.1968,True
GameOfLife,Parallel_1,512,10,1624.2704,True
GameOfLife,Parallel_2,724,1,1555.2554,True
GameOfLife,Parallel_2,724,2,1540.4034,True
GameOfLife,Parallel_2,724,3,1578.2518,True
GameOfLife,Parallel_2,724,4,1540.2700,True
GameOfLife,Parallel_2,724,5,1558.8891,True
GameOfLife,Parallel_2,724,6,1593.7426,True
GameOfLife,Parallel_2,724,7,1595.0257,True
GameOfLife,Parallel_2,724,8,1574.5391,True
GameOfLife,Parallel_2,724,9,1584.4474,True
GameOfLife,Parallel_2,724,10,1545.6580,True
GameOfLife,Parallel_4,1024,1,1757.1890,True
GameOfLife,Parallel_4,1024,2,1821.1632,True
GameOfLife,Parallel_4,1024,3,1826.1179,True
GameOfLife,Parallel_4,1024,4,1906.4100,True
GameOfLife,Parallel_4,1024,5,1740.2088,True
GameOfLife,Parallel_4,1024,6,1712.2708,True
GameOfLife,Parallel_4,1024,7,1762.2628,True
GameOfLife,Parallel_4,1024,8,1739.0259,True
GameOfLife,Parallel_4,1024,9,1793.0215,True
GameOfLife,Parallel_4,1024,10,1788.0889,True
GameOfLife,Parallel_6,1254,1,2074.9205,True
GameOfLife,Parallel_6,1254,2,2064.1302,True
GameOfLife,Parallel_6,1254,3,2073.0724,True
GameOfLife,Parallel_6,1254,4,2129.7387,True
GameOfLife,Parallel_6,1254,5,2052.9492,True
GameOfLife,Parallel_6,1254,6,2116.1306,True
GameOfLife,Parallel_6,1254,7,2058.3739,True
GameOfLife,Parallel_6,1254,8,2033.3819,True
GameOfLife,Parallel_6,1254,9,2014.4282,True
GameOfLife,Parallel_6,1254,10,2102.6673,True
GameOfLife,Parallel_8,1448,1,2366.0442,True
GameOfLife,Parallel_8,1448,2,2321.2595,True
GameOfLife,Parallel_8,1448,3,2317.6169,True
GameOfLife,Parallel_8,1448,4,2371.7771,True
GameOfLife,Parallel_8,1448,5,2321.7459,True
GameOfLife,Parallel_8,1448,6,2339.4404,True
GameOfLife,Parallel_8,1448,7,2313.1781,True
GameOfLife,Parallel_8,1448,8,2304.1300,True
GameOfLife,Parallel_8,1448,9,2353.2298,True
GameOfLife,Parallel_8,1448,10,2270.7375,True
GameOfLife,Parallel_12,1774,1,3381.7590,True
GameOfLife,Parallel_12,1774,2,3450.8055,True
GameOfLife,Parallel_12,1774,3,3649.6308,True
GameOfLife,Parallel_12,1774,4,3850.5564,True
GameOfLife,Parallel_12,1774,5,3237.4878,True
GameOfLife,Parallel_12,1774,6,3288.2549,True
GameOfLife,Parallel_12,1774,7,3391.6599,True
GameOfLife,Parallel_12,1774,8,3329.5583,True
GameOfLife,Parallel_12,1774,9,3529.9678,True
GameOfLife,Parallel_12,1774,10,3262.1803,True
MatrixMultiply,Sequential,645,1,230.5646,True
MatrixMultiply,Sequential,645,2,225.8377,True
MatrixMultiply,Sequential,645,3,230.7995,True
MatrixMultiply,Sequential,645,4,228.7519,True
MatrixMultiply,Sequential,645,5,235.5575,True
MatrixMultiply,Sequential,645,6,228.8890,True
MatrixMultiply,Sequential,645,7,232.3271,True
MatrixMultiply,Sequential,645,8,235.7652,True
MatrixMultiply,Sequential,645,9,225.3972,True
MatrixMultiply,Sequential,645,10,232.2259,True
MatrixMultiply,Sequential,813,1,534.4490,True
MatrixMultiply,Sequential,813,2,533.2355,True
MatrixMultiply,Sequential,813,3,536.0353,True
MatrixMultiply,Sequential,813,4,527.1447,True
MatrixMultiply,Sequential,813,5,535.1357,True
MatrixMultiply,Sequential,813,6,508.2629,True
MatrixMultiply,Sequential,813,7,511.2095,True
MatrixMultiply,Sequential,813,8,501.1006,True
MatrixMultiply,Sequential,813,9,518.7522,True
MatrixMultiply,Sequential,813,10,507.0032,True
MatrixMultiply,Sequential,930,1,730.1771,True
MatrixMultiply,Sequential,930,2,735.6400,True
MatrixMultiply,Sequential,930,3,745.0237,True
MatrixMultiply,Sequential,930,4,750.0765,True
MatrixMultiply,Sequential,930,5,737.2523,True
MatrixMultiply,Sequential,930,6,715.6259,True
MatrixMultiply,Sequential,930,7,734.1950,True
MatrixMultiply,Sequential,930,8,768.9716,True
MatrixMultiply,Sequential,930,9,767.9778,True
MatrixMultiply,Sequential,930,10,776.6476,True
MatrixMultiply,Sequential,1024,1,4717.6953,True
MatrixMultiply,Sequential,1024,2,4965.0963,True
MatrixMultiply,Sequential,1024,3,5085.3968,True
MatrixMultiply,Sequential,1024,4,5077.6811,True
MatrixMultiply,Sequential,1024,5,5081.3029,True
MatrixMultiply,Sequential,1024,6,5023.1485,True
MatrixMultiply,Sequential,1024,7,4848.7653,True
MatrixMultiply,Sequential,1024,8,4809.2162,True
MatrixMultiply,Sequential,1024,9,5121.2213,True
MatrixMultiply,Sequential,1024,10,5054.7009,True
MatrixMultiply,Sequential,1172,1,1548.5153,True
MatrixMultiply,Sequential,1172,2,1712.1777,True
MatrixMultiply,Sequential,1172,3,1401.2184,True
MatrixMultiply,Sequential,1172,4,1477.2819,True
MatrixMultiply,Sequential,1172,5,1544.4413,True
