TaskName,Variant,InputSize,MedianMs,MeanMs,MinMs,MaxMs,StdDevMs,CvPercent,SpeedupVsBase,IsValid
MatrixMultiply,Sequential,512,187.3596,189.7098,183.0709,207.8397,6.7891,3.58,1.0000,True
MatrixMultiply,Parallel_1,512,198.6076,199.1709,192.0055,210.3535,4.4553,2.24,0.9434,True
MatrixMultiply,Parallel_2,645,145.7359,146.9830,141.1244,156.4528,4.8352,3.29,1.2856,True
MatrixMultiply,Parallel_4,813,177.3282,177.6389,172.7710,184.1714,3.7494,2.11,1.0566,True
MatrixMultiply,Parallel_6,930,229.6334,230.4325,204.5716,264.1896,18.8577,8.18,0.8159,True
MatrixMultiply,Parallel_8,1024,463.5843,470.6167,455.5073,508.0636,14.7772,3.14,0.4042,True
MatrixMultiply,Parallel_12,1172,593.3098,592.7807,543.2596,636.9454,27.1967,4.59,0.3158,True
GameOfLife,Sequential,512,1539.7486,1561.3830,1535.9525,1671.4365,44.8558,2.87,1.0000,True
GameOfLife,Parallel_1,512,1518.8329,1532.3828,1511.4163,1624.2704,31.9170,2.08,1.0138,True
GameOfLife,Parallel_2,724,1566.7141,1566.6482,1540.2700,1595.0257,20.1700,1.29,0.9828,True
GameOfLife,Parallel_4,1024,1775.1759,1784.5759,1712.2708,1906.4100,53.3955,2.99,0.8674,True
GameOfLife,Parallel_6,1254,2068.6013,2071.9793,2014.4282,2129.7387,34.1289,1.65,0.7443,True
GameOfLife,Parallel_8,1448,2321.5027,2327.9159,2270.7375,2371.7771,28.9689,1.24,0.6633,True
GameOfLife,Parallel_12,1774,3386.7095,3437.1861,3237.4878,3850.5564,182.8161,5.32,0.4546,True
MatrixMultiply,Sequential,645,230.6821,230.6116,225.3972,235.7652,3.3618,1.46,0.8122,True
MatrixMultiply,Sequential,813,522.9484,521.2329,501.1006,536.0353,12.8402,2.46,0.3583,True
MatrixMultiply,Sequential,930,741.1380,746.1587,715.6259,776.6476,18.6104,2.49,0.2528,True
MatrixMultiply,Sequential,1024,5038.9247,4978.4225,4717.6953,5121.2213,131.7909,2.65,0.0372,True
MatrixMultiply,Sequential,1172,1543.1109,1542.4051,1401.2184,1712.1777,80.6097,5.23,0.1214,True
GameOfLife,Sequential,724,3088.5480,3090.2219,3071.2412,3114.7133,14.1704,0.46,0.4985,True
GameOfLife,Sequential,1024,6153.2966,6153.9443,6142.1230,6166.9196,7.1139,0.12,0.2502,True
GameOfLife,Sequential,1254,9234.7098,9253.0154,9213.9913,9304.6608,31.2166,0.34,0.1667,True
GameOfLife,Sequential,1448,12130.1006,12147.7281,12102.5526,12289.6605,52.7887,0.43,0.1269,True
GameOfLife,Sequential,1774,18162.6502,18164.9630,18154.4823,18182.7013,8.4443,0.05,0.0848,True
